Time	Temperature	Dew Point	Humidity	Wind	Speed	Gust	Pressure	Precip. Rate.	Precip. Accum.	UV	Solar
3:54 AM	22.6 °C	22.5 °C	99 %	North	10.7 km/h	11.3 km/h	1,018.29 hPa	38.61 mm	122.43 mm		w/m²
3:59 AM	22.6 °C	22.4 °C	99 %		13.2 km/h	17.0 km/h	1,018.29 hPa	37.34 mm	127.51 mm		w/m²
4:04 AM	22.6 °C	22.4 °C	99 %	NNW	6.1 km/h	12.1 km/h	1,018.29 hPa	39.88 mm	131.32 mm		w/m²
4:09 AM	22.5 °C	22.3 °C	99 %		9.1 km/h	10.4 km/h	1,018.29 hPa	38.61 mm	134.11 mm		w/m²
4:14 AM	22.5 °C	22.3 °C	99 %	North	7.0 km/h	10.4 km/h	1,018.63 hPa	39.88 mm	136.40 mm		w/m²
4:19 AM	22.6 °C	22.4 °C	99 %	NE	11.3 km/h	12.2 km/h	1,018.63 hPa	40.13 mm	139.19 mm		w/m²
4:24 AM	22.6 °C	22.4 °C	99 %	NNE	14.8 km/h	15.8 km/h	1,018.63 hPa	41.66 mm	141.48 mm		w/m²
4:29 AM	22.6 °C	22.4 °C	99 %	NE	17.6 km/h	19.5 km/h	1,018.63 hPa	39.37 mm	144.53 mm		w/m²
4:34 AM	22.6 °C	22.4 °C	99 %	NE	16.3 km/h	19.1 km/h	1,018.63 hPa	41.15 mm	147.32 mm		w/m²
4:39 AM	22.7 °C	22.6 °C	99 %	NE	12.0 km/h	14.6 km/h	1,018.29 hPa	37.85 mm	150.11 mm		w/m²
4:44 AM	22.7 °C	22.6 °C	99 %	NNE	12.1 km/h	12.9 km/h	1,018.63 hPa	38.86 mm	152.40 mm		w/m²
4:49 AM	22.7 °C	22.5 °C	99 %	NE	13.2 km/h	16.2 km/h	1,018.63 hPa	35.81 mm	156.97 mm		w/m²
4:54 AM	22.6 °C	22.4 °C	99 %	NE	17.6 km/h	20.7 km/h	1,018.63 hPa	37.59 mm	160.02 mm		w/m²
4:59 AM	22.6 °C	22.4 °C	99 %	NNE	9.6 km/h	11.7 km/h	1,018.63 hPa	33.78 mm	163.83 mm		w/m²
5:04 AM	22.6 °C	22.4 °C	99 %	NNE	10.8 km/h	12.2 km/h	1,018.63 hPa	35.31 mm	165.86 mm		w/m²
5:09 AM	22.6 °C	22.4 °C	99 %	NNE	14.7 km/h	18.6 km/h	1,018.63 hPa	32.51 mm	167.89 mm		w/m²
5:14 AM	22.7 °C	22.5 °C	99 %	NNE	16.2 km/h	19.5 km/h	1,018.63 hPa	33.53 mm	169.93 mm		w/m²
5:19 AM	22.6 °C	22.5 °C	99 %	North	14.5 km/h	16.3 km/h	1,018.63 hPa	31.75 mm	172.47 mm		w/m²
5:24 AM	22.6 °C	22.5 °C	99 %	North	19.6 km/h	21.3 km/h	1,018.63 hPa	33.27 mm	174.75 mm		w/m²
5:29 AM	22.8 °C	22.6 °C	99 %	North	23.5 km/h	30.4 km/h	1,018.63 hPa	29.72 mm	176.02 mm		w/m²
5:34 AM	22.8 °C	22.6 °C	99 %	NNE	18.3 km/h	23.1 km/h	1,018.63 hPa	30.23 mm	177.04 mm		w/m²
5:39 AM	22.8 °C	22.6 °C	99 %	NNE	22.0 km/h	25.7 km/h	1,018.63 hPa	26.92 mm	178.05 mm		w/m²
5:44 AM	22.6 °C	22.4 °C	99 %	NNE	18.6 km/h	21.3 km/h	1,018.63 hPa	27.69 mm	179.32 mm		w/m²
5:49 AM	22.6 °C	22.5 °C	99 %	NNE	17.8 km/h	20.6 km/h	1,018.63 hPa	21.59 mm	180.34 mm		w/m²
5:54 AM	22.8 °C	22.6 °C	99 %	NNE	23.7 km/h	25.3 km/h	1,018.29 hPa	22.10 mm	181.10 mm		w/m²
5:59 AM	22.8 °C	22.6 °C	99 %	NNE	22.8 km/h	24.8 km/h	1,018.29 hPa	16.51 mm	181.86 mm		w/m²
6:04 AM	22.9 °C	22.7 °C	99 %	NE	26.8 km/h	28.0 km/h	1,017.95 hPa	16.76 mm	182.37 mm		w/m²
6:09 AM	22.9 °C	22.7 °C	99 %	NNE	32.6 km/h	34.3 km/h	1,017.95 hPa	13.72 mm	182.63 mm		w/m²
6:14 AM	22.7 °C	22.6 °C	99 %	NNE	36.7 km/h	38.2 km/h	1,017.27 hPa	13.97 mm	182.88 mm		w/m²
6:19 AM	22.7 °C	22.5 °C	99 %	NNE	41.6 km/h	44.6 km/h	1,016.59 hPa	8.89 mm	182.88 mm		w/m²
6:24 AM	22.8 °C	22.6 °C	99 %	NNE	43.5 km/h	47.1 km/h	1,015.92 hPa	9.14 mm	183.13 mm		w/m²
6:29 AM	22.7 °C	22.6 °C	99 %	NNE	39.4 km/h	46.8 km/h	1,016.26 hPa	6.60 mm	183.13 mm		w/m²
6:34 AM	22.7 °C	22.6 °C	99 %	North	31.4 km/h	37.2 km/h	1,017.27 hPa	6.86 mm	183.39 mm		w/m²
6:39 AM	22.8 °C	22.6 °C	99 %	North	25.5 km/h	28.6 km/h	1,017.61 hPa	4.57 mm	183.39 mm		w/m²
6:44 AM	22.9 °C	22.7 °C	99 %		25.8 km/h	29.1 km/h	1,017.95 hPa	4.57 mm	183.39 mm		w/m²
6:49 AM	22.9 °C	22.7 °C	99 %	North	21.9 km/h	30.2 km/h	1,017.95 hPa	2.79 mm	183.64 mm		w/m²
6:54 AM	22.8 °C	22.7 °C	99 %	NNE	25.3 km/h	27.9 km/h	1,017.95 hPa	2.79 mm	183.64 mm		w/m²
6:59 AM	22.8 °C	22.6 °C	99 %	NNE	26.0 km/h	26.8 km/h	1,018.29 hPa	1.52 mm	183.64 mm		w/m²
7:04 AM	22.9 °C	22.7 °C	99 %	NNE	21.8 km/h	27.8 km/h	1,018.29 hPa	1.52 mm	183.64 mm		w/m²
7:09 AM	22.8 °C	22.6 °C	99 %	NNE	20.2 km/h	21.7 km/h	1,018.29 hPa	0.76 mm	183.64 mm		w/m²
7:14 AM	22.8 °C	22.6 °C	99 %	NNE	19.9 km/h	21.2 km/h	1,018.29 hPa	0.76 mm	183.64 mm		w/m²
7:19 AM	22.9 °C	22.7 °C	99 %	North	22.1 km/h	23.4 km/h	1,018.29 hPa	0.51 mm	183.64 mm		w/m²
7:24 AM	22.9 °C	22.7 °C	99 %	North	19.3 km/h	23.4 km/h	1,018.29 hPa	0.51 mm	183.64 mm		w/m²
7:29 AM	22.9 °C	22.7 °C	99 %	NNW	13.1 km/h	18.8 km/h	1,018.63 hPa	0.25 mm	183.64 mm		w/m²
7:34 AM	22.9 °C	22.7 °C	99 %		12.2 km/h	15.6 km/h	1,018.96 hPa	0.25 mm	183.64 mm		w/m²
7:39 AM	23.0 °C	22.8 °C	99 %	NNE	12.5 km/h	16.9 km/h	1,018.96 hPa	0.25 mm	183.64 mm		w/m²
7:44 AM	23.0 °C	22.8 °C	99 %	North	11.2 km/h	12.2 km/h	1,018.96 hPa	0.25 mm	183.64 mm		w/m²
7:49 AM	22.9 °C	22.7 °C	99 %	North	7.3 km/h	9.1 km/h	1,019.30 hPa	0.00 mm	183.64 mm		w/m²
7:54 AM	22.9 °C	22.7 °C	99 %	North	2.3 km/h	5.0 km/h	1,019.30 hPa	0.00 mm	183.64 mm		w/m²
7:59 AM	22.9 °C	22.7 °C	99 %	North	0.0 km/h	1.2 km/h	1,019.30 hPa	0.00 mm	183.64 mm		w/m²
8:04 AM	22.9 °C	22.7 °C	99 %	NNE	0.0 km/h	0.0 km/h	1,019.30 hPa	0.00 mm	183.64 mm		w/m²
8:09 AM	22.9 °C	22.7 °C	99 %	NNE	0.0 km/h	0.0 km/h	1,019.30 hPa	0.00 mm	183.64 mm		w/m²
8:14 AM	22.9 °C	22.7 °C	99 %	ENE	2.1 km/h	2.2 km/h	1,019.30 hPa	0.00 mm	183.64 mm		w/m²
8:19 AM	22.9 °C	22.8 °C	99 %	East	6.4 km/h	7.5 km/h	1,019.30 hPa	0.25 mm	183.90 mm		w/m²
8:24 AM	22.8 °C	22.6 °C	99 %	ENE	6.3 km/h	7.0 km/h	1,019.30 hPa	0.25 mm	183.90 mm		w/m²
8:29 AM	22.7 °C	22.6 °C	99 %	East	6.8 km/h	7.8 km/h	1,019.64 hPa	0.25 mm	183.90 mm		w/m²
8:34 AM	22.7 °C	22.6 °C	99 %	ENE	5.4 km/h	5.9 km/h	1,019.64 hPa	0.25 mm	183.90 mm		w/m²
8:39 AM	22.7 °C	22.6 °C	99 %	East	5.2 km/h	5.7 km/h	1,019.64 hPa	0.51 mm	184.15 mm		w/m²
8:44 AM	22.7 °C	22.6 °C	99 %	East	6.0 km/h	6.4 km/h	1,019.64 hPa	1.02 mm	184.66 mm		w/m²
8:49 AM	22.7 °C	22.6 °C	99 %	NE	9.2 km/h	11.0 km/h	1,019.64 hPa	2.29 mm	185.93 mm		w/m²
8:54 AM	22.6 °C	22.5 °C	99 %	NNE	7.0 km/h	7.5 km/h	1,019.98 hPa	2.54 mm	186.18 mm		w/m²
8:59 AM	22.6 °C	22.4 °C	99 %	North	8.1 km/h	8.9 km/h	1,019.98 hPa	2.54 mm	186.18 mm		w/m²
9:04 AM	22.6 °C	22.4 °C	99 %	NNE	8.6 km/h	8.9 km/h	1,019.64 hPa	2.54 mm	186.18 mm		w/m²
9:09 AM	22.5 °C	22.3 °C	99 %	NNE	11.9 km/h	12.3 km/h	1,019.64 hPa	4.06 mm	187.71 mm		w/m²
9:14 AM	22.4 °C	22.3 °C	99 %	North	13.1 km/h	13.7 km/h	1,019.64 hPa	4.57 mm	188.21 mm		w/m²
9:19 AM	22.4 °C	22.2 °C	99 %	North	11.5 km/h	12.9 km/h	1,019.64 hPa	4.57 mm	188.47 mm		w/m²
9:24 AM	22.4 °C	22.2 °C	99 %		13.2 km/h	14.7 km/h	1,019.64 hPa	4.57 mm	188.47 mm		w/m²
9:29 AM	22.4 °C	22.2 °C	99 %	North	10.6 km/h	13.7 km/h	1,019.64 hPa	4.57 mm	188.47 mm		w/m²
9:34 AM	22.4 °C	22.3 °C	99 %	North	7.7 km/h	8.8 km/h	1,019.64 hPa	4.57 mm	188.47 mm		w/m²
9:39 AM	22.5 °C	22.3 °C	99 %	North	5.9 km/h	6.5 km/h	1,019.64 hPa	4.06 mm	188.47 mm		w/m²
9:44 AM	22.7 °C	22.5 °C	99 %	North	9.4 km/h	10.0 km/h	1,019.64 hPa	4.06 mm	188.47 mm		w/m²
9:49 AM	22.9 °C	22.8 °C	99 %	North	13.4 km/h	15.1 km/h	1,019.64 hPa	2.29 mm	188.47 mm		w/m²
9:54 AM	23.1 °C	23.0 °C	99 %	North	11.7 km/h	12.5 km/h	1,019.64 hPa	2.29 mm	188.47 mm		w/m²
9:59 AM	23.3 °C	23.1 °C	99 %	North	13.9 km/h	14.4 km/h	1,019.30 hPa	2.29 mm	188.47 mm		w/m²
10:04 AM	23.3 °C	23.1 °C	99 %	North	13.6 km/h	18.9 km/h	1,019.30 hPa	2.29 mm	188.47 mm		w/m²
10:09 AM	23.4 °C	23.2 °C	99 %	North	12.9 km/h	13.7 km/h	1,019.30 hPa	0.25 mm	188.47 mm		w/m²
10:14 AM	23.5 °C	23.3 °C	99 %	North	13.0 km/h	13.9 km/h	1,019.30 hPa	0.25 mm	188.47 mm		w/m²
10:19 AM	23.5 °C	23.3 °C	99 %	North	8.6 km/h	11.3 km/h	1,019.30 hPa	0.00 mm	188.47 mm		w/m²
10:24 AM	23.5 °C	23.3 °C	99 %	North	8.9 km/h	9.1 km/h	1,019.30 hPa	0.00 mm	188.47 mm		w/m²
10:29 AM	23.7 °C	23.5 °C	99 %	NNE	7.5 km/h	9.1 km/h	1,019.30 hPa	0.00 mm	188.47 mm		w/m²
10:34 AM	23.7 °C	23.6 °C	99 %	NNE	7.5 km/h	8.3 km/h	1,019.30 hPa	0.00 mm	188.47 mm		w/m²
10:39 AM	23.7 °C	23.6 °C	99 %	North	7.4 km/h	7.6 km/h	1,019.30 hPa	0.00 mm	188.47 mm		w/m²
10:44 AM	23.7 °C	23.6 °C	99 %	North	6.9 km/h	7.1 km/h	1,019.30 hPa	0.00 mm	188.47 mm		w/m²
10:49 AM	23.9 °C	23.7 °C	99 %	North	7.1 km/h	8.9 km/h	1,019.30 hPa	0.00 mm	188.47 mm		w/m²
10:54 AM	23.9 °C	23.7 °C	99 %	North	5.3 km/h	6.3 km/h	1,019.30 hPa	0.00 mm	188.47 mm		w/m²
10:59 AM	23.8 °C	23.6 °C	99 %	North	5.1 km/h	6.1 km/h	1,019.64 hPa	0.00 mm	188.47 mm		w/m²
11:04 AM	23.8 °C	23.6 °C	99 %	North	4.0 km/h	4.7 km/h	1,019.64 hPa	0.00 mm	188.47 mm		w/m²
11:09 AM	23.9 °C	23.7 °C	99 %	ENE	6.6 km/h	7.0 km/h	1,019.64 hPa	0.00 mm	188.47 mm		w/m²
11:14 AM	23.9 °C	23.7 °C	99 %	East	9.1 km/h	11.4 km/h	1,019.30 hPa	0.00 mm	188.47 mm		w/m²
11:19 AM	23.7 °C	23.6 °C	99 %	ENE	7.8 km/h	11.6 km/h	1,019.30 hPa	0.25 mm	188.72 mm		w/m²
11:24 AM	23.6 °C	23.4 °C	99 %	NE	6.8 km/h	7.8 km/h	1,019.30 hPa	0.25 mm	188.72 mm		w/m²
11:29 AM	23.5 °C	23.3 °C	99 %	NNE	7.0 km/h	8.4 km/h	1,019.30 hPa	0.25 mm	188.72 mm		w/m²
11:34 AM	23.3 °C	23.1 °C	99 %	NNE	8.5 km/h	9.6 km/h	1,019.30 hPa	0.25 mm	188.72 mm		w/m²
11:39 AM	23.3 °C	23.1 °C	99 %	North	9.4 km/h	10.0 km/h	1,018.96 hPa	0.25 mm	188.72 mm		w/m²
11:44 AM	23.3 °C	23.1 °C	99 %	North	10.9 km/h	11.8 km/h	1,018.96 hPa	0.25 mm	188.72 mm		w/m²
11:49 AM	23.3 °C	23.1 °C	99 %	North	16.1 km/h	17.9 km/h	1,018.96 hPa	0.25 mm	188.72 mm		w/m²
11:54 AM	23.0 °C	22.9 °C	99 %	North	13.7 km/h	15.3 km/h	1,018.96 hPa	0.25 mm	188.72 mm		w/m²
11:59 AM	22.8 °C	22.7 °C	99 %	North	11.8 km/h	12.4 km/h	1,018.96 hPa	0.25 mm	188.72 mm		w/m²
12:04 PM	22.8 °C	22.6 °C	99 %	North	10.9 km/h	11.6 km/h	1,018.63 hPa	0.25 mm	188.72 mm		w/m²
12:09 PM	22.9 °C	22.7 °C	99 %	North	9.8 km/h	10.1 km/h	1,018.63 hPa	0.25 mm	188.72 mm		w/m²
12:14 PM	22.8 °C	22.7 °C	99 %	North	9.6 km/h	10.9 km/h	1,018.63 hPa	0.25 mm	188.98 mm		w/m²
12:19 PM	22.8 °C	22.6 °C	99 %	NNE	8.3 km/h	9.3 km/h	1,018.63 hPa	0.25 mm	188.98 mm		w/m²
12:24 PM	23.0 °C	22.8 °C	99 %	NNE	5.9 km/h	7.7 km/h	1,018.29 hPa	0.25 mm	188.98 mm		w/m²
12:29 PM	23.2 °C	23.0 °C	99 %	North	9.6 km/h	10.0 km/h	1,018.29 hPa	0.25 mm	188.98 mm		w/m²
12:34 PM	23.3 °C	23.1 °C	99 %		12.7 km/h	13.3 km/h	1,018.29 hPa	0.25 mm	188.98 mm		w/m²
12:39 PM	23.3 °C	23.1 °C	99 %		11.8 km/h	13.6 km/h	1,018.29 hPa	0.25 mm	188.98 mm		w/m²
12:44 PM	23.2 °C	23.1 °C	99 %	North	9.7 km/h	10.6 km/h	1,017.95 hPa	0.76 mm	189.48 mm		w/m²
12:49 PM	23.1 °C	23.0 °C	99 %	North	6.8 km/h	7.7 km/h	1,017.95 hPa	0.76 mm	189.48 mm		w/m²
12:54 PM	23.1 °C	22.9 °C	99 %	NE	7.4 km/h	7.5 km/h	1,017.95 hPa	1.02 mm	189.74 mm		w/m²
12:59 PM	23.1 °C	22.9 °C	99 %	NE	8.5 km/h	9.2 km/h	1,017.95 hPa	1.02 mm	189.74 mm		w/m²
1:04 PM	23.1 °C	22.9 °C	99 %	NE	9.0 km/h	9.7 km/h	1,017.95 hPa	1.02 mm	189.74 mm		w/m²
1:09 PM	23.1 °C	22.9 °C	99 %	NE	7.0 km/h	9.1 km/h	1,017.95 hPa	1.02 mm	189.74 mm		w/m²
1:14 PM	23.1 °C	22.9 °C	99 %	NE	7.4 km/h	7.4 km/h	1,017.95 hPa	1.02 mm	189.74 mm		w/m²
1:19 PM	23.2 °C	23.1 °C	99 %	NE	8.0 km/h	8.0 km/h	1,017.95 hPa	0.76 mm	189.74 mm		w/m²
1:24 PM	23.3 °C	23.2 °C	99 %	NE	7.7 km/h	7.9 km/h	1,017.61 hPa	0.76 mm	189.74 mm		w/m²
1:29 PM	23.4 °C	23.2 °C	99 %	NE	9.8 km/h	10.1 km/h	1,017.61 hPa	0.76 mm	189.74 mm		w/m²
1:34 PM	23.4 °C	23.2 °C	99 %	NE	11.1 km/h	12.6 km/h	1,017.61 hPa	0.76 mm	189.74 mm		w/m²
1:39 PM	23.4 °C	23.2 °C	99 %	ENE	12.5 km/h	12.8 km/h	1,017.61 hPa	0.51 mm	189.74 mm		w/m²
1:44 PM	23.3 °C	23.1 °C	99 %	ENE	13.6 km/h	14.4 km/h	1,017.61 hPa	0.51 mm	189.74 mm		w/m²
1:49 PM	23.4 °C	23.2 °C	99 %	ENE	12.7 km/h	14.1 km/h	1,017.61 hPa	0.25 mm	189.74 mm		w/m²
1:54 PM	23.3 °C	23.1 °C	99 %	ENE	13.7 km/h	14.0 km/h	1,017.61 hPa	0.25 mm	189.74 mm		w/m²
1:59 PM	23.1 °C	22.9 °C	99 %	ENE	12.6 km/h	14.1 km/h	1,017.61 hPa	0.25 mm	189.99 mm		w/m²
2:04 PM	23.0 °C	22.8 °C	99 %	ENE	10.3 km/h	12.6 km/h	1,017.61 hPa	0.25 mm	189.99 mm		w/m²
2:09 PM	23.0 °C	22.9 °C	99 %	ENE	11.8 km/h	12.5 km/h	1,017.61 hPa	0.25 mm	189.99 mm		w/m²
2:14 PM	23.1 °C	22.9 °C	99 %	ENE	11.5 km/h	12.5 km/h	1,017.61 hPa	0.25 mm	189.99 mm		w/m²
2:19 PM	23.1 °C	22.9 °C	99 %	ENE	10.9 km/h	11.8 km/h	1,017.61 hPa	0.25 mm	189.99 mm		w/m²
2:24 PM	23.0 °C	22.8 °C	99 %	ENE	11.2 km/h	12.3 km/h	1,017.61 hPa	0.25 mm	189.99 mm		w/m²
2:29 PM	23.1 °C	22.9 °C	99 %	ENE	10.7 km/h	11.5 km/h	1,017.61 hPa	0.25 mm	189.99 mm		w/m²
2:34 PM	23.1 °C	22.9 °C	99 %	ENE	10.9 km/h	12.5 km/h	1,017.61 hPa	0.25 mm	189.99 mm		w/m²
2:39 PM	23.1 °C	22.9 °C	99 %	ENE	8.8 km/h	10.5 km/h	1,017.61 hPa	0.25 mm	189.99 mm		w/m²
2:44 PM	23.0 °C	22.8 °C	99 %	NNE	6.4 km/h	7.4 km/h	1,017.61 hPa	0.25 mm	189.99 mm		w/m²
2:49 PM	23.0 °C	22.8 °C	99 %	NNE	5.1 km/h	5.6 km/h	1,017.95 hPa	0.51 mm	190.25 mm		w/m²
2:54 PM	23.0 °C	22.8 °C	99 %	NE	4.0 km/h	4.4 km/h	1,017.95 hPa	1.52 mm	191.52 mm		w/m²
2:59 PM	23.0 °C	22.8 °C	99 %	North	4.0 km/h	4.2 km/h	1,017.95 hPa	1.52 mm	191.52 mm		w/m²
3:04 PM	22.9 °C	22.8 °C	99 %	North	5.5 km/h	5.9 km/h	1,017.61 hPa	1.52 mm	191.52 mm		w/m²
3:09 PM	22.9 °C	22.7 °C	99 %	North	4.3 km/h	4.6 km/h	1,017.61 hPa	1.52 mm	191.52 mm		w/m²
3:14 PM	22.9 °C	22.7 °C	99 %	North	4.1 km/h	4.8 km/h	1,017.61 hPa	1.52 mm	191.52 mm		w/m²
3:19 PM	22.9 °C	22.7 °C	99 %	NE	4.9 km/h	5.7 km/h	1,017.61 hPa	1.78 mm	191.77 mm		w/m²
3:24 PM	22.9 °C	22.7 °C	99 %	NE	4.2 km/h	4.4 km/h	1,017.61 hPa	2.03 mm	192.02 mm		w/m²
3:29 PM	23.0 °C	22.9 °C	99 %	NE	2.2 km/h	3.2 km/h	1,017.61 hPa	2.03 mm	192.02 mm		w/m²
3:34 PM	23.0 °C	22.8 °C	99 %	NE	0.7 km/h	2.9 km/h	1,017.61 hPa	2.03 mm	192.02 mm		w/m²
3:39 PM	23.1 °C	23.0 °C	99 %	NE	1.7 km/h	2.8 km/h	1,017.61 hPa	2.03 mm	192.02 mm		w/m²
3:44 PM	23.3 °C	23.1 °C	99 %	NE	0.0 km/h	1.2 km/h	1,017.61 hPa	2.03 mm	192.02 mm		w/m²
3:49 PM	23.3 °C	23.1 °C	99 %	NE	0.0 km/h	0.0 km/h	1,017.61 hPa	1.52 mm	192.02 mm		w/m²
